Channel,Store Code,Store Name,Status
DISTRIBUTION,DISTRI-OUT,ESP COMMERCIAL.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,EUPHONY GENERAL MERCHANDISE.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,EUROLINK NETWORK INTERNATIONAL CORP.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,FACTSET PHILIPPINES INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,FASTCO PTE. LTD.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,FASTLINK COMPUTER CO.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,FGP CORP.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,FIREFLY ELECTRIC & LIGHTING CORP.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,FIRST CIRCLE GROWTH FINANCE CORP.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,FIRST GAS POWER CORP.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,FIRST GEN. CORP.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,FIRST PHILIPPINE HOLDINGS CORP.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,FORTUNE GENERAL INSURANCE CORP.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,GANMAR ENTERPRISES.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,GEOPLAN PHILIPPINES INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,GRUPPO-AVANTI CORP.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,GRUPPO INNOVARE CORP.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,"H & F RETAIL CONCEPTS, INC.CRP",ACTIVE
DISTRIBUTION,DISTRI-OUT,HAN SEO PHARMA CORPORATION.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,"HONESTBEE PHILIPPINES, INC.CRP",ACTIVE
DISTRIBUTION,DISTRI-OUT,HOW DO YOU ROLL INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,INEWVATION.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,INGRAM MICRO PHILIPPINES BPO LLC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,"ISCALE SOLUTIONS, INC.CRP",ACTIVE
DISTRIBUTION,DISTRI-OUT,ISOC HOLDINGS INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,ITHIEL CORPORATE.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,ITHIEL CORPORATION - ALAMINOS.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,ITHIEL CORPORATION - DAPITAN.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,JBS EXPRESS.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,KABAYAN HOTEL PASAY.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,KALINISAN STEAM LAUNDRY INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,KENRICH INTERNATIONAL DISTRIBUTOR CORP.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,KEYSYS INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,KING'S DEVELOPMENT INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,KNOCKDOWN EVENTS PRODUCTIONS.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,LEGEND HOTEL CORPORATE.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,"LIFE CARE TECHNOLOGIES, INC.CRP",ACTIVE
DISTRIBUTION,DISTRI-OUT,LIVING ANGELS CHRISTIAN ACADEMY.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,"MARINE BENEFITS ASSISTANCE SERVICES, INC.CRP",ACTIVE
DISTRIBUTION,DISTRI-OUT,MARTIN'S CAR ACCESSORIES PARTS.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,MATTONY INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,MC GRAW PHARMA INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,MEGAWORLD CORPORATION.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,MELCO RESORTS LEISURE (PHP) CORPORATION.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,MERGERS DRUGFIL CORPORATION.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,MERZ PHILIPPINES HEALTHCARE INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,MJC INVESTMENTS CORPORATION.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,MKRHK LTD. CO.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,MOBILE MATTERS INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,MOMENT GROUP INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,MUSTARD SEED SYSTEMS CORPORATION.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,MVGS LAW.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,MYTAXI.PH INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,NFS FOUNDATION MINISTRY INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,NOVUS SYSTEMS INTEGRATION & TECHNOLOGIES INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,"ODV CREATIVE MEDIA, INC.CRP",ACTIVE
DISTRIBUTION,DISTRI-OUT,OHM PHILIPPINES INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,ORTIGAS AND COMPANY.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,"PEAKHEALTH, INC.CRP",ACTIVE
DISTRIBUTION,DISTRI-OUT,PERSONAL COLLECTION DIRECT SELLING INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,"PLDT EMPLOYEE'S MULTI-PURPOSE COOPERATIVE, INC.CRP",ACTIVE
DISTRIBUTION,DISTRI-OUT,YOU POUND IT INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,PRIMER RESOURCES CORP.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,RADIUS TELECOMS INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,RAEMULAN LANDS INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,RAYOMAR MANAGEMENT INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,REAL PAGE.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,RED PLANET HOTELS BINONDO CORP.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,RED PLANET HOTELS MANILA BAY CORP - AURORA.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,RED PLANET HOTELS MANILA BAY CORP.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,RESTORED ENERGY DEVELOPMENT CORPORATION.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,REVO SOFTWARE SOLUTIONS INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,ROCKWELL LAND.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,ROCKWELL PRIMARIES DEVELOPMENT CORPORATION.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,SALARIUM PAYMENTS CORPORATION.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,SENTI TECHLABS INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,SFI HUMAN RESOURCES CONSULTANCY INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,SHIMADZU PHILIPPINES CORPORATION.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,SHOP FRONT PRO.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,"SODEXO BENEFITS AND REWARDS SERVICES PHILIPPINES, INC.CRP",ACTIVE
DISTRIBUTION,DISTRI-OUT,SOLID ALLEGIANCE MARKETING INT'L INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,SOLID CEMENT CORPORATION.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,ST. RAFAEL DEV'T CORPORATION.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,"STELLAR EQUIPMENT & MACHINERY, INC.CRP",ACTIVE
DISTRIBUTION,DISTRI-OUT,STERLING BANK OF ASIA.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,SUNCITY GROUP MANILA INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,SYSPOINT INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,TAN ACUT LOPEZ & PISON LAW OFFICES.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,TARGET DISPLAY CO.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,TASTE CENTRAL CURATORS INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,THE COVENANT CAR CO. INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,THE LEGEND PALAWAN.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,THE LEGEND VILLAS.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,THE MABUHAY MANOR.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,TOYOTA MOTOR PHILS.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,TRAVELLERS.MEGAWORLD.NEWPORT.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,TRUE MONEY PHILIPPINES INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,UAS.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,UNION BANK.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,"UNION INKS AND GRAPHICS PHILIPPINES, INC.CRP",ACTIVE
DISTRIBUTION,DISTRI-OUT,VALUELINE SYSTEMS & SOLUTIONS CORP.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,VCY SALES CORPORATION.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,VIRTUSIO PR INTERNATIONAL INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,WEBB FONTAINE ASIA INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,WINGS TECHNOLOGY ENTERPRISE INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,W LANDMARK INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,YNZAL MARKETING CORP.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,ZIMZAM MANAGEMENT INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,ABENSON.DEPOT.PASIG.OUT,ACTIVE
DISTRIBUTION,DISTRI-OUT,ABENSON.AYALA.TRINOMA.OUT,ACTIVE
DISTRIBUTION,DISTRI-OUT,ALLHOME CORP.STARMALL.LAS PINAS.OUT,ACTIVE
DISTRIBUTION,DISTRI-OUT,FAMILY SHOPPERS.STARMALL.ALABANG.OUT,ACTIVE
DISTRIBUTION,DISTRI-CON,FAMILY SHOPPERS.EVIA.LAS PINAS.CON,ACTIVE
DISTRIBUTION,DISTRI-OUT,AUTOMATIC CENTER.AYALA.GREENBELT 1.OUT,ACTIVE
DISTRIBUTION,DISTRI-OUT,GAGDETS IN STYLE.HEAD OFFICE.OUT,ACTIVE
DISTRIBUTION,DISTRI-OUT,I STUDIO.AYALA.BONIFACIO HIGH STREET.OUT,ACTIVE
DISTRIBUTION,DISTRI-OUT,I STUDIO.SHANGRI-LA.EDSA.OUT,ACTIVE
DISTRIBUTION,DISTRI-OUT,PC EXPRESS.SAN JUAN.OUT,ACTIVE
DISTRIBUTION,DISTRI-OUT,TOBY'S.E-COMMERCE.OUT,ACTIVE
DISTRIBUTION,DISTRI-OUT,GLOBE.HEAD OFFICE.OUT,ACTIVE
DISTRIBUTION,DISTRI-OUT,MOBILE 1.ROCKWELL.POWERPLANT.OUT,ACTIVE
DISTRIBUTION,DISTRI-OUT,AMBASSADOR.AYALA.GLORIETTA 2.OUT,ACTIVE
DISTRIBUTION,DISTRI-OUT,AMBASSADOR.SHANGRI-LA.EDSA.OUT,ACTIVE
DISTRIBUTION,DISTRI-OUT,QUEST CAR ACCESSORIES ENTERPRISES.HEAD OFFICE.OUT,ACTIVE
DISTRIBUTION,DISTRI-OUT,RUSTANS.HEAD OFFICE.OUT,ACTIVE
DISTRIBUTION,DISTRI-OUT,THE LANDMARK.RECORD BAR.MAKATI.OUT,ACTIVE
DISTRIBUTION,DISTRI-OUT,TALTRUST INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,ABS-CBN CORPORATION.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,PH.ARRIVA INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,63 TECHNOLOGY SOLUTIONS INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-OUT,EASY TOUCH (PHILIPPINES) INC.CRP,ACTIVE
DISTRIBUTION,DISTRI-CON,RUNNER.AYALA.ALABANG TOWN CENTER.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,RUNNER.SM.MALL OF ASIA.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,RUNNER.AYALA.SERENDRA.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,RUNNER.SHANGRI-LA.EDSA.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,TOBY'S.AYALA.GLORIETTA 4.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,TOBY'S.SM.MALL OF ASIA.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,TOBY'S.SM.THE BLOCK.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,TOBY'S.AYALA.TRINOMA.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,TOBY'S.AYALA.GLORIETTA 2.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,TOBY'S.SM.SAN LAZARO.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,TOBY'S.SM.AURA.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,TOBY'S.SM.MEGAMALL.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,TOBY'S.SHANGRI-LA.EDSA.CON,ACTIVE
DISTRIBUTION,DISTRI-OUT,EGGHEAD.SHANGRI-LA.EDSA.OUT,ACTIVE
DISTRIBUTION,DISTRI-OUT,EGGHEAD.ROBINSONS.GALLERIA.OUT,ACTIVE
DISTRIBUTION,DISTRI-CON,I STORE.AYALA.CEBU.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,I STORE.CENTRIO.CDO.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,I STORE.ROBINSONS PLACE.DUMAGUETE.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,I STORE.SM.ILOILO.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,I STORE.SM.CEBU.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,I STORE.SM.SEASIDE CITY CEBU.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,MOBILE 1.AYALA.ALABANG TOWN CENTER.CON,ACTIVE
DISTRIBUTION,DISTRI-OUT,THE INBOX STORE.SM.CLARK PAMPANGA.OUT,ACTIVE
DISTRIBUTION,DISTRI-OUT,THE BIKE SHOP.ROCKWELL.SANTOLAN TOWN PLAZA.OUT,ACTIVE
DISTRIBUTION,DISTRI-OUT,UPSON INTERNATIONAL CORP.CRP,ACTIVE
DISTRIBUTION,DISTRI-CON,ASTROVISION.SM.DASMARINAS.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,ASTROVISION.CASH AND CARRY.CASH AND CARRY.CON,ACTIVE
DISTRIBUTION,DISTRI-CON,ELECTROWORLD.WAREHOUSE.CON,ACTIVE
DISTRIBUTION,DISTRI-OUT,SHOPEE.CRP,ACTIVE
